"title","author","recipient","description","iso.date","type","tag","extent","wms","uri","doi","relation","publisher","rights","image_url"
"May, Sam[ue]l J., letter, Syracuse, [N.Y.], March 9, 1855, to ""Uncle Peter "" [Peter Still]:","May, Samuel J. (Samuel Joseph), 1797-1871","","The Rev. Samuel J. May acknowledges the receipt of Peter Still’s recent letter, which contained news that Still’s family will be provided for; indicates that Mrs. Reynolds is sure that her daughter, Mrs. Emily Pickard, would write Still’s narrative; opines that information about Seth Conklin’s life should be included in the volume, even if Dr. Furness publishes his own account of Conklin; suggests a title for the work about the Stills; advises Still to talk with the Rev. Furness about his Conklin essay before coming (to New York state) to confer with Mrs. Pickard; and proposes that Still avoid taking his formerly enslaved children from place to place to show them off, as it would not be good for them.","1855-03-09","Text","Correspondence","3 p.","rutgers-lib:26692","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051581","doi:10.7282/T37081KB","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26692.pdf"
"May, Samuel J., letter, Syracuse, [N.Y.], April 27, 1855, to Mrs. Kate Pickard, Camillus, N.Y.","May, Samuel J. (Samuel Joseph), 1791-1871","","The Rev. Samuel J. May reports his thoughts on the subject of a publisher for Mrs. Pickard’s book on Peter Still and his family, together with his reasons for suggesting the Syracuse firm of L.W. Hall & Co.; notes that Messrs. Hall & Co. would assume the risk of publishing the book and pay her and Still each fifteen cents per copy sold; urges that certain parts of the book (Dr. Furness’ manuscripts and the images for the plates) be given to the publisher and engraver in advance of her text, to help speed the book’s publication; and notes that if “Uncle Peter” [Peter Still] and his wife came to Syracuse in the next three weeks, he would request that they stay with another of their friends, as his wife is currently ill.","1855-04-27","Text","Correspondence","3 p.","rutgers-lib:26914","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051582","doi:10.7282/T3F47P81","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26914.pdf"
"Pickard, Kate E.R., letter, [May? 1855], to [William?] Still","Pickard, Kate E. R.","","Kate Pickard poses questions regarding the history of Peter Still's parents (“a knowledge of which is necessary to the complete narration of the story”), such as how long had Peter’s father been married when he purchased his freedom, what was the father’s employment before and after he was enslaved, and what were the details of the mother’s successful and unsuccessful escape attempts.","1855-05-01","Text","Correspondence","2 p.","rutgers-lib:26924","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051665","doi:10.7282/T3QN66WK","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26924.pdf"
"Pickard, K[ate] E.R., letter, [May? 1855], to [William Still?]","Pickard, Kate E. R.","Still, William, 1821-1902","Kate Pickard describes the terms proffered by L.W. Hall & Co. of Syracuse for publishing the book about Peter Still and his family that she is writing, including the proposed edition size (“5,000 at first”) and that the publisher would assume all of the financial risk; notes that Peter Still and she would each receive twenty percent of the profit; and indicates that a final decision will be made later in the month regarding this publisher’s proposal, based on information to be obtained (from at least Mr. [John P.?] Jewett of Boston) by Mr. May.","1855-05-01","Text","Correspondence","1 p.","rutgers-lib:26925","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051666","doi:10.7282/T3V98860","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26925.pdf"
"Pickard, Kate E.R., letter, Buffalo, [N.Y.], June 24, 1855, to ""Uncle Peter"" [Peter Still]","Pickard, Kate E. R.","","Kate Pickard notes that she has not heard from Peter Still for some time and that she would like to; states that, per his brother’s letter, questions regarding Still’s parents were apparently misunderstood (as she “had no intention of publishing anything that could in any way injure [his] mother’s family”); indicates that she is busy writing while in Buffalo; relates that her family is reasonably well; hopes that Still’s grandchild can be freed from slavery; and also hopes that Still’s children are doing well, entreating him to “Tell them they must remember that their friends expect great things of them . . . that they should show the world that freedom is better than slavery.”","1855-06-24","Text","Correspondence","3 p.","rutgers-lib:26915","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051583","doi:10.7282/T3JW8F1W","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26915.pdf"
"Carter, I? W. J? (per W.W. Handy), letter, Franklin County, Ala., June 25, 1855, to Peter Still, Burlington, New Jersey","Carter, I. W. J.","","Carter, whose letter was postmarked at Tuscumbia, Alabama, acknowledges the receipt of Peter Still’s letter; relays his amazement that Still’s immediate family is free; sends greetings from himself and others; provides requested details concerning Still’s now healthy grandson Peter (born March 11, 1854); and reports on a fish trap that Still had owned.","1855-06-25","Text","Correspondence","2 p.","rutgers-lib:26916","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051584","doi:10.7282/T3PN95SN","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26916.pdf"
"Pickard, Kate, E.R., letter, Camillus, [N.Y.], August 26, 1855, to ""Uncle Peter"" [Peter Still]","Pickard, Kate E. R.","","Kate Pickard, now at home, reports to Peter Still that the first half of the book about Still’s experiences is completed, but has not yet been read by Mr. May; notes that “Mr. Hall of Syracuse will probably publish it”; inquires when Still might want to come “to hear it read” (noting that the first part cannot be set until that happens); and relates family news and good wishes.","1855-08-26","Text","Correspondence","3 p.","rutgers-lib:26917","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051585","doi:10.7282/T3TD9XGJ","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26917.pdf"
"Pickard, Kate E.R., letter, Camillus, N.Y., September 28, 1855, to Mr. Peter Still, Burlington, New Jersey","Pickard, Kate E. R.","Still, Peter, b. 1801","Kate Pickard reports that William Still met with Mr. May recently while traveling to Canada; notes that she would like Peter Still to visit her soon (perhaps even when William Still comes back from Canada, so that she can meet with both brothers at the same time); indicates that Mr. Hall of Syracuse has changed his mind and is not willing to publish the book on the Still family; relates that potential publishers in Boston (Jewett) and New York have been contacted, who will need to see the portion of the text already completed; states that the part of his family narrative she has not yet written “is the account of the running away” and subsequent events; and stresses that a pre-holidays publication date is desired.","1855-09-28","Text","Correspondence","2 p.","rutgers-lib:26918","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051586","doi:10.7282/T3Z31ZRN","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26918.pdf"
"Cornealous?, Murry, letter, Burlington, [N.J.], December 30?,1855, to unnamed recipient","Cornealous, Murry","","Murry Cornealous [?] requests payment this week of a sum promised to him for his troubles on behalf of the letter’s recipient (as the writer needs the money to pay his board); notes that his mother will come to see the debtor if the money is not sent; and suggests that leaving the payment with “uncle maclin” would be acceptable.","1855-12-30","Text","Correspondence","2 p.","rutgers-lib:26919","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051587","doi:10.7282/T32V2G6K","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26919.pdf"
"Pickard, D.L., letter, Camillus, [N.Y.], January 23, 1856, to ""Uncle Peter"" [Peter Still]","Pickard, D. L.","","Writing for his wife, D.L. Pickard informs Peter Still that arrangements for publication of the book about Still and his family “have been made with Wm. T. Hamilton, book merchant of Syracuse”; notes that the volume “is now ready for the press”; desires to know of current prospects for freeing the small child (Still’s grandson) remaining in bondage; wants to know whether or not the book must therefore be delayed; and reports on the health of his family.","1856-01-23","Text","Correspondence","1 p.","rutgers-lib:26920","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051588","doi:10.7282/T36M36XW","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26920.pdf"
"Pickard, Kate E.R., letter, Camillus, [N.Y.], May 9, 1856, to ""Uncle Peter"" [Peter Still]","Pickard, Kate E. R.","","Kate Pickard expresses the hope that Peter Still and his spouse Vina have been comfortable in their “own home through all the past cold winter”; reports that the book about the Still family will be issued later in the month; notes that the publisher, Mr. Hamilton, has taken as a partner in the enterprise the Auburn firm of Miller, Orton & Mulligan, a publishing house which has previously issued books on slavery; states that one engraving (of Still and his family) will be omitted, at least from the book’s first edition, as the likenesses in the proof were poor; observes that publishing the book now might actually work out better than had it appeared the previous fall; and notes, in a postscript, that the daguerreotypes consulted by the engraver are in her care and ready to be returned.","1856-05-09","Text","Correspondence","4 p.","rutgers-lib:26921","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051589","doi:10.7282/T3BC3ZN7","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26921.pdf"
"Pickard, Kate E.R., letter, Camillus, [N.Y.], June 3, 1856, to ""Uncle Peter"" [Peter Still]","Pickard, Kate E. R.","","Kate Pickard informs Peter Still that the book she has written about his life and family is finally out; describes the physical appearance of a copy of the volume that she recently obtained when she saw the publisher, Mr. Hamilton; conveys a request from Hamilton that Still ""take an agency to sell the book"" so as to realize a good (i.e., greater) profit from it--which is especially likely if Still retraces the travels that he made when fundraising to free his enslaved family; notes that the book is priced at $1.25 per copy; gives Still advice about whether or not to accept an agency to sell the book; notes that she and Still are receiving ten percent on each book; and entreats him to let her know if he is coming (to New York State) to accept a position as a sales agent for the volume.","1856-06-03","Text","Correspondence","2 p.","rutgers-lib:26926","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051667","doi:10.7282/T3028RNF","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26926.pdf"
"Pickard, Kate E.R., letter, Camillus, [N.Y.], May 30, 1857, to ""Uncle Peter"" [Peter Still]","Pickard, Kate E. R.","","Kate Pickard acknowledges to Peter Still that she has not written to him for some time, although in the meantime she has learned news of him through Mr. Hamilton and Mr. May; updates Still on the health and activities of members of her family (including the birth of her daughter Jane); consoles him on the death of his mother; encourages him in selling the book about his life and family, noting that he gets both his “share as proprietor & the agent’s percentage besides”; and relates that, although there is not much news from Alabama, she has learned that Judge Weakl[e]y of Florence has died.","1857-05-30","Text","Correspondence","4 p.","rutgers-lib:26922","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051590","doi:10.7282/T3G44QDD","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26922.pdf"
"Ely, H.P., letter, Medford, [N.J.], November 15, 1857, to ""Resp[ec]t[e]d F[rien]d."" [Peter Still]","Ely, H. P.","Still, Peter, b. 1801","H.P. Ely informs Peter Still that he (Ely) has received a letter from Dillwyn Smith; alludes to a trip to New England by Still to sell books; reports that Smith is suffering financially, apparently as arbitration (relating to construction of Still’s house?) reduced the amount of money that Smith was to receive, despite related bills that Smith must still pay; believes that Still should pay one of Smith’s relevant bills, as Smith “has met with many losses” and “Dillwyn[’]s family & connections have done more for [him] than all others with their money & reccommendations [sic]”; further suggests that through inaction Still could “loose the interest of [his] best friends and injure the cause of freedom for the slave”; and adds, in a postscript, that he has forgotten to mention a bill from the painter, who urgently seeks payment.","1857-11-15","Text","Correspondence","2 p.","rutgers-lib:26927","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051668","doi:10.7282/T33T9HBD","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26927.pdf"
"Still, Catharine, letter, Onondaga Valley, N.Y., February 17, 1861, to ""My Dear father"" [Peter Still]","Still, Catharine","","Catharine Still acknowledges the receipt of a letter from her father (Peter Still); comments on the cold weather, including as a reason for not visiting Mrs. Pickard; notes that she will enclose a separate note [not present] for Alice; and asks questions, in part about items that her father was to get (including from ""uncle William"").","1861-02-17","Text","Correspondence","2 p.","rutgers-lib:26928","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051669","doi:10.7282/T37M082P","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26928.pdf"
"May, Samuel J., letter, Syracuse, [N.Y.], February 28, 1861, to ""Uncle Peter"" [Peter Still]","May, Samuel J. (Samuel Joseph), 1797-1871","","The Rev. Samuel J. May explains to Peter Still the circumstances, as he has been able to ascertain them, of the sale of the copyright and stereotype plates of Still's published narrative (after the bankruptcy of the publisher), which went first to Still’s friend Mr. Parrish and then to a Mr. Jones of London; indicates his resulting conclusion that Mrs. Pickard was not at fault for what happened to the plates, despite Still’s perception; presumes that printing in London is cheaper than in New York, so that for Still to purchase an edition of the book now would likely not be more expensive than formerly; provides advice regarding Still’s dispute with a Mr. Smith over the price of Still's house and land, suggesting that “three good men” be selected to act as arbitrators; and notes in a postscript that he recently visited Catharine [Still], who is unhappy with her situation at the Onondaga Academy, as she “thinks she does not receive as much instruction as she ought to.”","1861-02-28","Text","Correspondence","4 p.","rutgers-lib:26923","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051591","doi:10.7282/T3KW5G58","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26923.pdf"
"Garrison, W[illia]m Lloyd, letter, Roxbury, [Mass.], April 7, 1872, to William Still.","Garrison, William Lloyd, 1838-1909","","William Lloyd Garrison thanks William Still for the gift of Still's book on the Underground Railroad; comments on the volume’s presentation and contents, including the perils encountered by escaping slaves and the impact of the Fugitive Slave Law; and expresses the hope that the book will be sold widely, both to recoup the expense of preparing it and “for the enlightenment of the rising generation as to the inherent cruelty of the defunct slave system.”","1872-04-07","Text","Correspondence","4 p.","rutgers-lib:26931","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000052057","doi:10.7282/T32R3PPP","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26931.pdf"
"Garrison, W[illia]m Lloyd, letter, Roxbury, [Mass.], March 5, 1875, to [William] Still.","Garrison, William Lloyd, 1838-1909","","William Lloyd Garrison acknowledges the receipt of William Still’s letter requesting a reply by a certain date; reports that there is no possibility of his attending the centennial of the Pennsylvania Society for Promoting the Abolition of Slavery, to which he has been invited, on account of his ill health; offers to send a letter expressing his feelings, which could be read at the event, if it is desired; comments on a federal civil rights bill; and reflects on the poor prospects for equal rights after the end of President Grant’s administration.","1875-03-05","Text","Correspondence","3 p.","rutgers-lib:26932","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000052058","doi:10.7282/T3MW2H86","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26932.pdf"
"Family record (""Catalogue of Children of Leven Still and Charity his wife"").","","","Family record recording the births of fourteen named children to Leven and Charity Still from 1798 to 1821. The document was written all at one time in the same handwriting.","","Text","","1 p.","rutgers-lib:26930","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000052056","doi:10.7282/T3H41RK7","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26930.pdf"
